prov,Sector,Subsector,en_carrier,tech,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ab,Agriculture,Mot,d,d_ice,34.641,29.096000000000004,21.306,24.832000000000004,25.549999999999994,25.958,29.202999999999996,29.462,31.720999999999993,20.085,24.413,28.697999999999997,28.573,29.136999999999997,35.818,35.845,34.221,38.491,37.941,36.004,33.757,33.542,34.573257854318165,35.222874654036886,36.14302312038687,37.12013150583741,38.14902863791334,39.22276114614086,40.325347945863676,41.450744369821095,42.591896946782036,43.41056660605677,44.194382012510886,44.974144598869586,45.750664929151945,46.52475356737707,47.29478938550675,48.0623935115792,48.82837650961348,49.59354894362867,50.359531941662944,51.12632550371631,51.897171885865085,52.67369221614745,53.478358813221945,54.295317852789175,55.12475711963229,55.966867267217786,56.8218418615187,57.68987742550746,58.5711734843282
ab,Agriculture,Mot,db,db_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.004546407284661179,0.008381192130494331,0.01785483625181169,0.011712851016585013,0.06275097478985593,0.1571036558146606,0.21005117257139844,0.20243326354454472,0.23189095677357094,0.3747976886178704,0.27680189028220487,0.38369533116828397,0.4003721518748235,0.42331635695111797,0.39689729645591854,0.3943694379750695,0.40649443291916443,0.41413229029809934,0.42495091869020674,0.4364392522663458,0.4485364910628083,0.4611608809562329,0.47412452464251925,0.4873563520593471,0.5007734321505727,0.5103989253655097,0.5196146203544642,0.5287826643869091,0.5379125876541463,0.5470139203474779,0.5560676020842997,0.565092693247216,0.5740987240275283,0.5830952246165387,0.592101255396851,0.6011168163684653,0.610180028296589,0.6193099515638263,0.6287708040367135,0.6383761846724174,0.6481283013470156,0.6580293956650763,0.6680817434749093,0.6782876553916888,0.6886494773285673
ab,Agriculture,Mot,dr,dr_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22257844043788663,0.3073825668406712,0.2251449882316054,0.2942029432555415,0.4982534459945329,0.40306153071286843,0.40566111094894763,0.3803439096295863,0.3779214804868793,0.389540778533139,0.396860083962119,0.4072275000574836,0.418236689957478,0.42982938948114496,0.44192725422255086,0.4543502235063305,0.4670301913876919,0.47988768561422873,0.48911172859505264,0.49794306479550476,0.506728737416844,0.5154778791748926,0.5241996227854737,0.5328757028169416,0.5415243847009419,0.5501548011532968,0.5587760848898293,0.5674065013421843,0.576046050510362,0.5847312632576526,0.5934804050157013,0.602546673922288,0.6117514431587793,0.6210968285174133,0.6305849781122059,0.6402180728727113,0.6499983270453275,0.6599279887022587
ab,Agriculture,Mot,et,et_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.08766676506261648,0.10978053559704655,0.18101613920360296,0.1994381373753969,0.2844156244017194,0.5976031462962315,0.6807053931004804,0.6884499374868484,0.6971769820511667,0.6021907337920338,0.6760789830089788,0.6382226507075454,0.6111935472647656,0.5713640079140506,0.5015853575222484,0.5654220724185021,0.5828061268334576,0.59375680589776,0.609267874193518,0.6257391236204735,0.6430833830183574,0.6611834384719715,0.679769894655877,0.698740855788975,0.717977420543938,0.7317778467371665,0.7449907300330593,0.7581352943874016,0.7712252035885032,0.7842741214246747,0.7972547203192953,0.8101943278489858,0.8231066078020559,0.8360052239668159,0.848917503919886,0.8618434476612662,0.874837710344197,0.8879276195452989,0.9014919942076268,0.9152635842509496,0.929245555188989,0.9434411208932535,0.9578535443317722,0.972486138319116,0.9873422662778746
ab,Agriculture,Mot,j,j_ice,0.032,0.035,0.03,0.02,0.009999999999999998,0.014000000000000002,0.014999999999999996,0.015,0.018999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab,Agriculture,Mot,p,p_ice,12.928,11.341,13.238,15.313,13.368999999999998,13.833,14.183999999999996,11.818999999999999,12.287999999999998,9.629000000000001,13.041,16.614999999999995,16.541,16.901999999999997,16.972,15.005,17.439999999999998,16.197,15.558,14.616,12.831,14.463999999999999,14.90869958872035,15.188827708424945,15.585614644722309,16.006963869191825,16.45064546594653,16.913660998681696,17.389119095133626,17.874413170505402,18.366501622987755,18.719528811341153,19.05752612929931,19.393775787909178,19.728627319040417,20.062430254562692,20.394485530736677,20.7254922113017,21.0557998281274,21.38575791308345,21.71606552990915,22.046722678604514,22.379127486648155,22.7139790177794,23.06096779781892,23.413257331785303,23.770928596337768,24.134063805170772,24.502746427911468,24.87706120930594,25.25709418869844
ab,Agriculture,Nmot,e,e_resht,6.573999999999999,6.648999999999998,6.682999999999999,6.940999999999999,7.336999999999999,7.862,7.661999999999999,6.698999999999999,6.705000000000001,7.478,6.964999999999999,7.41,7.292999999999999,8.21,6.7139999999999995,8.217999999999998,6.497,7.024999999999999,7.268999999999999,7.236,7.5360000000000005,7.171,7.2753281198239454,7.295610852508539,7.368653441113705,7.449057074079478,7.535358282966669,7.625825067790622,7.717094493097716,7.8078768159496486,7.896771437454651,7.991067590233953,8.076825520719114,8.159772085326935,8.24006937502629,8.317875186985553,8.392911497622348,8.4654799464218,8.535731889851533,8.603814390578668,8.670009765986077,8.768168729040141,8.866004583606587,8.963785155491596,9.065308536858064,9.167841874653178,9.27139233347965,9.375967061146262,9.481573186482757,9.588217817091905,9.695908037037293
ab,Agriculture,Nmot,hfo,hfo_boil,0.0,0.0,0.0,0.0,0.049,0.036,0.04299999999999999,0.04299999999999999,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab,Agriculture,Nmot,lfo,lfo_boil,0.36140999999999995,0.28196299999999996,0.22895199999999996,0.20171499999999998,0.22276300000000002,0.016356,0.14035299999999998,0.07845299999999998,0.08242,0.016567,0.011501999999999998,0.035,0.026,0.037775,0.023877000000000002,0.018999999999999996,0.01454,0.005880999999999999,0.005448999999999999,0.021556,0.003088,0.026658,0.027045836984837087,0.027121237499117646,0.02739277136148503,0.027691669708661375,0.02801249213600969,0.028348799980081215,0.028688091618602553,0.029025572466822722,0.02935603583595957,0.029706579252608663,0.03002538205708132,0.030333733684373927,0.030632236703312065,0.030921477720633226,0.031200423191133256,0.031470194451500816,0.03173135416534126,0.031984449034171816,0.03223052856528474,0.03259543187543607,0.032959134038458286,0.03332263068959628,0.03370004113450875,0.03408120606533321,0.034466152116287896,0.034854905859160096,0.03524749379518301,0.03564394234667913,0.03604427784846467
ab,Agriculture,Nmot,ng,ng_mef,6.357999999999999,4.964999999999999,5.271999999999999,4.851,4.677,4.385,4.166999999999999,4.950999999999999,5.569,4.612,3.5129999999999995,3.779,3.557,3.708,3.83,4.047,4.412,4.887999999999999,5.171999999999999,5.161,5.014,5.396999999999999,5.475518876403546,5.490783959139392,5.545756884910147,5.606269840859983,5.671221399131378,5.739308031078787,5.80799874205109,5.8763228525561635,5.943226251281934,6.014194921836932,6.078737600797804,6.141164404477683,6.20159732492217,6.260155122599501,6.316628552875166,6.37124463405919,6.42411727925376,6.475357169983693,6.525176782460863,6.599052660804579,6.6726853629514356,6.746276458539692,6.822684447555845,6.899852544624627,6.977786141931344,7.056490619021946,7.135971341158477,7.216233657627249,7.297282899998644
