Sector,Sub-Sector,Use,Province,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Non Energy Ind,Non Energy Ind,End use Combustion of Energy Carriers,Nova-Scotia,966,934,984,904,1027,1192,1064,1066,1069,1028,1045,771,923,840,867,688,690,731,767,743,697,693,624,468,450,431,378,398,382,334,255,288,281,286
Energy Sector,Oil and Gas,Production of Energy Carriers,Nova-Scotia,2508,2620,2186,2370,1824,1689,1551,1529,1327,1117,1695,1501,1763,1995,1592,1432,1392,1277,1378,1396,1414,1553,1517,1397,824,632,465,408,399,199,142,53,63,220
Energy Sector,Electricity,Production of Energy Carriers,Nova-Scotia,6868,7043,7445,7375,7210,6998,7233,7781,8154,8588,9432,9086,7743,8523,10385,10036,9594,11064,9176,9083,8780,8425,7613,7519,6941,6703,6575,6653,6966,6665,6281,6042,5782,4811
Ind Processes,Ind Processes,Non-Energy Emissions,Nova-Scotia,336,291,233,250,298,409,358,272,460,462,435,387,457,517,505,491,445,481,487,369,485,570,574,639,512,523,522,450,474,438,468,454,458,471
Agric,Agric,Non-Energy Emissions,Nova-Scotia,433,432,440,436,446,440,439,477,451,436,448,426,419,418,415,406,402,397,392,375,361,367,370,374,373,358,353,347,345,337,344,340,339,333
Waste,Waste,Non-Energy Emissions,Nova-Scotia,801,812,824,837,853,829,844,842,846,838,824,807,806,755,715,625,620,506,507,466,484,476,487,510,532,503,516,519,527,551,571,584,593,596
Transport,Road,End use Combustion of Energy Carriers,Prince-Edouard Island,416,427,426,430,465,483,496,504,532,554,545,540,562,586,584,571,568,585,580,561,569,649,640,568,575,578,597,611,587,581,527,562,546,562
Transport,Off Road ,End use Combustion of Energy Carriers,Prince-Edouard Island,180,155,136,141,147,141,144,156,163,181,189,170,159,148,160,164,144,131,112,139,150,167,139,100,103,132,151,148,150,154,159,153,147,133
Transport,Marine,End use Combustion of Energy Carriers,Prince-Edouard Island,38,37,37,37,37,36,38,40,41,43,45,46,48,50,52,53,54,55,56,58,59,57,55,53,51,49,52,60,67,64,25,24,48,71
Transport,Rail,End use Combustion of Energy Carriers,Prince-Edouard Island,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Transport,Air,End use Combustion of Energy Carriers,Prince-Edouard Island,17,12,11,12,12,13,13,12,10,11,11,13,9,11,12,13,15,16,17,17,18,17,20,21,19,20,21,22,24,25,9,11,25,30
Buildings,Residential,End use Combustion of Energy Carriers,Prince-Edouard Island,369,338,356,335,316,287,309,321,300,289,294,286,303,303,331,309,307,401,368,404,368,438,356,302,260,209,215,223,212,222,204,184,191,169
Buildings,Commercial,End use Combustion of Energy Carriers,Prince-Edouard Island,202,197,195,194,197,214,221,224,210,205,219,205,200,202,182,152,124,103,92,80,77,117,105,102,93,96,67,57,61,55,65,65,69,66
Non Energy Ind,Non Energy Ind,End use Combustion of Energy Carriers,Prince-Edouard Island,86,102,118,119,119,120,147,167,150,108,182,150,143,169,176,169,185,197,185,149,202,173,205,128,86,73,79,85,72,95,156,154,137,141
Energy Sector,Oil and Gas,Production of Energy Carriers,Prince-Edouard Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Energy Sector,Electricity,Production of Energy Carriers,Prince-Edouard Island,104,93,52,75,59,39,27,34,8,16,53,47,24,37,10,6,10,6,5,7,2,1,11,4,4,14,4,9,3,1,0,2,1,4
Ind Processes,Ind Processes,Non-Energy Emissions,Prince-Edouard Island,6,6,6,6,6,8,9,11,13,15,18,19,23,24,26,26,28,31,32,34,35,40,41,43,46,46,47,49,53,53,52,51,51,51
Agric,Agric,Non-Energy Emissions,Prince-Edouard Island,298,297,308,300,308,317,320,319,331,329,323,307,318,323,336,331,318,299,286,265,255,254,268,243,267,250,279,272,284,287,294,307,314,289
Waste,Waste,Non-Energy Emissions,Prince-Edouard Island,73,75,77,79,81,84,86,88,89,90,92,93,95,106,93,91,89,85,88,87,86,84,83,81,80,79,78,77,75,93,89,109,73,74
