Sector,Sub-Sector,Use,Province,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Agric,Agric,Non-Energy Emissions,Alberta,12611,12986,13558,14292,15062,16010,16100,16048,16469,16921,17545,17823,17459,17282,17724,18424,17768,17730,17590,16542,16040,16029,16421,16849,16803,16874,16809,16344,16825,17064,17531,17421,17931,16887
Waste,Waste,Non-Energy Emissions,Alberta,2145,1928,2015,2093,2207,2328,2374,2428,2586,2671,2768,2851,2927,2974,3143,3288,3306,3366,3498,3607,3628,3722,3843,4015,4159,4317,4462,4472,4567,4538,4598,4597,4650,4680
Transport,Road,End use Combustion of Energy Carriers,Saskatchewan ,3156,3558,3762,3925,4330,4116,4179,4010,3974,4010,4191,4240,4727,4975,4943,4984,5459,5861,6325,7087,7251,6425,7045,7730,7209,7331,6989,7174,7195,7041,6392,6666,6477,6395
Transport,Off Road,End use Combustion of Energy Carriers,Saskatchewan ,5269,5232,5622,5714,5681,6180,6363,6557,6358,6625,6254,5164,5253,5106,5148,6026,5586,6710,6828,6429,6589,6875,7129,7620,8559,8637,7892,8360,8911,8698,8340,8411,8460,8422
Transport,Marine,End use Combustion of Energy Carriers,Saskatchewan ,0,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Transport,Rail,End use Combustion of Energy Carriers,Saskatchewan ,636,675,683,677,587,578,565,674,620,608,591,601,616,606,647,670,687,729,797,660,726,717,766,764,791,784,748,811,903,894,790,743,732,735
Transport,Air,End use Combustion of Energy Carriers,Saskatchewan ,259,210,195,187,187,192,198,186,215,207,218,200,200,182,173,192,197,201,206,187,197,195,228,242,234,234,225,224,235,218,117,147,181,198
Buildings,Residential,End use Combustion of Energy Carriers,Saskatchewan ,2080,2086,1992,2071,2013,2073,2382,2022,1847,1895,1926,1904,1990,1758,1723,1620,1719,1658,1738,1796,1947,1806,1764,1886,1892,1739,1701,1845,2035,2133,1912,1879,2031,1729
Buildings,Commercial,End use Combustion of Energy Carriers,Saskatchewan ,984,981,898,1434,1269,1174,1378,1166,1221,1558,1653,1506,1885,1735,1576,1537,1360,1249,1362,1633,1399,1299,1135,1143,1155,1143,1388,1508,1667,1747,1582,1545,1717,1528
Non Energy Ind,Non Energy Ind,End use Combustion of Energy Carriers,Saskatchewan ,2128,2652,3197,2522,3165,2988,3328,3118,3051,2984,2851,2737,2661,2391,2387,2147,2525,2653,2591,1611,1848,2629,2574,2189,2458,2385,2258,2840,3790,3436,3128,3504,3668,3612
Energy Sector,Oil and Gas,Production of Energy Carriers,Saskatchewan ,15383,17273,20218,23712,26555,28887,29162,31588,31020,30749,33253,33871,34086,34766,35912,34792,34689,34040,32449,29723,29179,29834,31994,32967,36072,36085,31860,34514,34343,32691,24950,24090,23700,23307
Energy Sector,Electricity,Production of Energy Carriers,Saskatchewan ,11120,11293,12825,13021,13840,14317,14325,14993,15144,14888,14499,15025,15019,15926,16651,15282,14843,15310,15348,16439,16224,15639,16227,15174,15291,16210,16168,16698,16355,16034,13922,16115,14839,14618
Ind Processes,Ind Processes,Non-Energy Emissions,Saskatchewan ,360,451,410,499,537,506,605,654,628,587,676,751,740,758,825,863,906,890,855,818,929,1064,997,1188,863,859,844,778,716,718,865,846,834,818
Agric,Agric,Non-Energy Emissions,Saskatchewan ,6135,6238,6957,7384,7777,8271,8764,8801,8777,8718,8995,8998,9109,10154,10437,10966,10565,10471,10787,10078,9500,9644,10250,10925,10378,10608,10811,11011,11079,11091,11173,11052,11197,11157
Waste,Waste,Non-Energy Emissions,Saskatchewan ,997,1035,1073,1110,1149,1187,1225,1258,1287,1312,1334,1355,1372,1373,1375,1376,1378,1353,1358,1365,1375,1385,1398,1365,1366,1374,1362,1388,1381,1415,1419,1410,1394,1393
Transport,Road,End use Combustion of Energy Carriers,Manitoba,3494,3439,3500,3521,3707,3769,3732,3629,3665,3724,3713,3695,3792,3910,4020,3876,3996,4318,3990,4094,4169,4052,4628,4396,4478,4152,4324,4333,4629,4602,4076,4245,4394,4486
Transport,Off Road,End use Combustion of Energy Carriers,Manitoba,2603,2591,2791,2835,2777,3130,3139,3060,2760,2871,2653,2387,2542,2412,2565,2825,2591,2511,2345,1721,1781,2116,2664,2683,2942,2915,2969,3096,3366,3179,3029,2963,3005,2914
Transport,Marine,End use Combustion of Energy Carriers,Manitoba,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,6,8,10,12,14,11,9,6,4,1,0,1,4,2,1,0,1,0
Transport,Rail,End use Combustion of Energy Carriers,Manitoba,493,516,488,486,516,473,399,498,456,443,439,447,445,466,466,503,514,508,538,444,486,503,532,530,558,540,477,522,542,521,468,461,452,461
Transport,Air,End use Combustion of Energy Carriers,Manitoba,471,408,423,390,448,465,534,561,518,539,542,486,491,508,519,533,534,549,513,443,449,433,485,506,469,437,433,475,515,511,311,358,444,494
Buildings,Residential,End use Combustion of Energy Carriers,Manitoba,1623,1530,1449,1461,1398,1445,1604,1427,1251,1279,1355,1204,1239,1204,1201,1063,906,1023,1092,1043,960,1025,1014,1194,1199,1012,1048,1116,1212,1214,1137,1055,1204,1020
Buildings,Commercial,End use Combustion of Energy Carriers,Manitoba,1403,1424,1476,1527,1430,1587,1666,1640,1491,1462,1660,1565,1682,1554,1550,1402,1260,1375,1463,1360,1178,1209,1167,1380,1443,1305,1320,1372,1530,1506,1434,1372,1581,1400
